// 한자가 "螢? ⌒" 로 반환되거나 "?"로 반환되는 문제 수정
//신자체로 변환할 수 있는 것만
鄕	郷	11100200	0
昻	昂	11100200	0
晥	皖	11100200	0
晳	皙	11100200	0
賴	頼	11100200	0
德	徳	11100200	0
悅	悦	11100200	0
啞	唖	11100200	0
噓	嘘	11100200	0
銳	鋭	11100200	0
閱	閲	11100200	0
焰	焔	11100200	0
鷗	鴎	11100200	0
黃	黄	11100200	0
溫	温	11100200	0
畵	画	11100200	0
槪	概	11100200	0
枾	柿	11100200	0
渴	渇	11100200	0
旣	既	11100200	0
虛	虚	11100200	0
俠	侠	11100200	0
俱	倶	11100200	0
薰	薫	11100200	0
揭	掲	11100200	0
擊	撃	11100200	0
硏	研	11100200	0
戶	戸	11100200	0
娛	娯	11100200	0
麴	麹	11100200	0
黑	黒	11100200	0
屢	屡	11100200	0
繡	繍	11100200	0
緖	緒	11100200	0
尙	尚	11100200	0
涉	渉	11100200	0
醬	醤	11100200	0
狀	状	11100200	0
瀨	瀬	11100200	0
稅	税	11100200	0
說	説	11100200	0
蟬	蝉	11100200	0
揷	挿	11100200	0
巢	巣	11100200	0
瘦	痩	11100200	0
增	増	11100200	0
卽	即	11100200	0
馱	駄	11100200	0
脫	脱	11100200	0
簞	箪	11100200	0
徵	徴	11100200	0
甛	甜	11100200	0
顚	顛	11100200	0
禱	祷	11100200	0
瀆	涜	11100200	0
卄	廿	11100200	0
潑	溌	11100200	0
醱	醗	11100200	0
姬	姫	11100200	0
甁	瓶	11100200	0
倂	併	11100200	0
步	歩	11100200	0
每	毎	11100200	0
麵	麺	11100200	0
戾	戻	11100200	0
綠	緑	11100200	0
淚	涙	11100200	0
曆	暦	11100200	0
歷	歴	11100200	0
鍊	錬	11100200	0
蠟	蝋	11100200	0
錄	録	11100200	0
凜	凛	11100200	0
辦	辧	11100200	0
毁	毀	11100200	0
姸	妍	11100200	0
屛	屏	11100200	0
幷	并	11100200	0
慤	愨	11100200	0
渗	滲	11100200	0
畵	畫	11100200	0
癎	癇	11100200	0
纘	纉	11100200	0
玆	茲	11100200	0
逈	迥	11100200	0
頹	頽	11100200	0
飇	飆	11100200	0
騈	駢	11100200	0
髥	髯	11100200	0
曩	先	11100200	0
对	対	11100200	0
繫	繋	11100200	0
髙	高	11100200	0
齠	齔	11100200	0
栁	柳	11100200	0
桒	桑	11100200	0
楨	禎	11100200	0
閒	間	11100200	0
靑	青	11100200	0
驎	麟	11100200	0

//연호
㍻	平成	11100200	0
㍼	昭和	11100200	0
㍽	大正	11100200	0
㍾	明治	11100200	0
// 비슷한 의미로 대체
嫺	優雅	11100200	0
渝	変わる	11100200	0
粐	籾	11100200	0
圷	湿地	11100200	0
圦	水門	11100200	0
鯣	スルメ	11100200	0
鯑	数の子	11100200	0
//나무 이름
椦	ズミ	11100200	0
榁	ムロ	11100200	0
樮	シャラ	11100200	0
